City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
197,Husavik,IS,2021-06-07 22:34:38,66.0449,-17.3389,284.1,83,99,1.2
198,Sorland,NO,2021-06-07 22:34:38,67.667,12.6934,283.07,81,96,3.02
199,Hasaki,JP,2021-06-07 22:30:35,35.7333,140.8333,295.53,66,29,1.1
200,Tres Arroyos,AR,2021-06-07 22:34:39,-38.3739,-60.2798,281.31,77,74,4.11
201,Cumberland,US,2021-06-07 22:34:39,35.0502,-78.8664,305.09,64,20,4.12
202,Constitucion,CL,2021-06-07 22:34:39,-35.3333,-72.4167,285.95,61,100,0.33
203,Thinadhoo,MV,2021-06-07 22:34:40,0.5333,72.9333,301.74,67,48,6.3
204,Uglezavodsk,RU,2021-06-07 22:34:40,47.3167,142.6167,282.03,94,89,1.62
205,Saint Anthony,US,2021-06-07 22:34:41,45.0205,-93.218,307.93,44,1,0.45
206,Stratford,US,2021-06-07 22:30:00,41.1845,-73.1332,303.12,75,75,5.14
207,Sabzevar,IR,2021-06-07 22:34:41,36.2126,57.6819,297.67,42,0,5.62
208,Nadadores,MX,2021-06-07 22:34:42,27.05,-101.6,314.23,12,2,3.86
209,Lufilufi,WS,2021-06-07 22:34:42,-13.8745,-171.5986,305.03,78,16,3.93
210,Timbiqui,CO,2021-06-07 22:34:42,2.7717,-77.6654,297.52,92,89,2.39
211,Kloulklubed,PW,2021-06-07 22:34:43,7.0419,134.2556,298.43,71,94,2.08
212,Inhambane,MZ,2021-06-07 22:34:43,-23.865,35.3833,292.47,78,32,3.58
213,Harer,ET,2021-06-07 22:34:44,9.3094,42.1258,287.5,80,36,2.24
214,Avarua,CK,2021-06-07 22:30:25,-21.2078,-159.775,299.18,57,20,3.6
215,Almaznyy,RU,2021-06-07 22:34:44,48.0448,40.045,287.23,96,92,3.95
216,Catamarca,AR,2021-06-07 22:30:49,-28.4696,-65.7852,290.65,70,1,0.45
217,Luorong,CN,2021-06-07 22:34:45,24.4058,109.6086,298.38,79,100,0.55
218,Roebourne,AU,2021-06-07 22:34:45,-20.7833,117.1333,297.37,32,99,7.45
219,Rio Brilhante,BR,2021-06-07 22:34:46,-21.8019,-54.5464,294.14,79,64,2.83
220,Yerofey Pavlovich,RU,2021-06-07 22:34:46,53.9667,121.9667,294.27,50,7,1.11
221,Gizo,SB,2021-06-07 22:34:47,-8.103,156.8419,301.08,73,100,2.44
222,Port Elizabeth,ZA,2021-06-07 22:34:47,-33.918,25.5701,294.87,39,0,4.63
223,Rio Tercero,AR,2021-06-07 22:34:47,-32.173,-64.1141,278.97,65,95,2.37
224,Mahibadhoo,MV,2021-06-07 22:34:48,3.7833,72.9667,301.23,75,38,7.36
225,San Patricio,US,2021-06-07 22:34:48,28.017,-97.5169,306.38,72,11,7.77
226,Manta,EC,2021-06-07 22:34:49,-0.95,-80.7333,299.03,73,75,5.66
227,Nuuk,GL,2021-06-07 22:34:49,64.1835,-51.7216,280.49,76,20,2.06
228,Murray Bridge,AU,2021-06-07 22:30:10,-35.1167,139.2667,282.35,86,100,3.47
229,Waw,SS,2021-06-07 22:34:50,7.7029,27.9953,294.72,93,97,2.89
230,North Branch,US,2021-06-07 22:34:50,45.5113,-92.9802,307.58,72,75,2.96
231,Torbay,CA,2021-06-07 22:34:50,47.6666,-52.7314,285.58,75,75,7.2
232,Muros,ES,2021-06-07 22:34:51,42.7762,-9.0603,289.39,80,64,3.65
233,Georgiyevka,KZ,2021-06-07 22:34:51,43.0369,74.7114,298.17,38,75,4.81
234,Gao,ML,2021-06-07 22:33:15,16.6362,1.637,306.33,29,80,3.37
235,Isangel,VU,2021-06-07 22:34:52,-19.55,169.2667,294.21,78,90,4.94
236,Bilma,NE,2021-06-07 22:34:52,18.6853,12.9164,305.98,15,51,3.43
237,Dunedin,NZ,2021-06-07 22:32:15,-45.8742,170.5036,283.22,72,0,0.72
238,Laguna,US,2021-06-07 22:34:53,38.421,-121.4238,303.96,28,1,4.02
239,Huarmey,PE,2021-06-07 22:34:53,-10.0681,-78.1522,292.08,81,20,3.88
240,Talnakh,RU,2021-06-07 22:34:54,69.4865,88.3972,272.36,96,100,2.09
241,Jaguey Grande,CU,2021-06-07 22:34:54,22.5269,-81.1286,303.51,41,35,3.9
242,Petropavlovsk-Kamchatskiy,RU,2021-06-07 22:31:11,53.0452,158.6483,279.48,100,75,0.86
243,Souillac,MU,2021-06-07 22:34:54,-20.5167,57.5167,295.36,78,75,8.3
244,Sola,VU,2021-06-07 22:34:55,-13.8833,167.55,299.27,76,100,9.16
245,Winslow,US,2021-06-07 22:34:55,35.0242,-110.6974,304.8,6,1,1.79
246,Ponta Delgada,PT,2021-06-07 22:34:56,37.7333,-25.6667,292.55,82,40,3.09
247,Pisco,PE,2021-06-07 22:34:56,-13.7,-76.2167,292.18,77,90,4.12
248,Kolokani,ML,2021-06-07 22:34:57,13.5728,-8.0339,305.21,35,39,3.07
249,Manbij,SY,2021-06-07 22:34:57,36.5281,37.9549,295.58,45,0,3.9
250,Fort-Shevchenko,KZ,2021-06-07 22:34:57,44.5086,50.263,293.31,73,4,7.45
251,Fort Nelson,CA,2021-06-07 22:30:10,58.8053,-122.7002,288.92,39,40,1.03
252,Dzaoudzi,YT,2021-06-07 22:34:58,-12.7887,45.2699,298.09,83,0,3.6
253,Santa Maria,BR,2021-06-07 22:33:47,-29.6842,-53.8069,289.76,82,75,3.78
254,Jalu,LY,2021-06-07 22:34:59,29.0331,21.5482,301.0,23,99,2.84
255,Nome,US,2021-06-07 22:34:59,64.5011,-165.4064,276.57,87,90,6.17
256,Coihaique,CL,2021-06-07 22:33:50,-45.5752,-72.0662,281.49,93,90,1.54
257,Iqaluit,CA,2021-06-07 22:34:59,63.7506,-68.5145,278.0,65,90,5.36
258,Cherskiy,RU,2021-06-07 22:33:10,68.75,161.3,291.25,45,100,8.3
259,Aberystwyth,GB,2021-06-07 22:35:00,52.4155,-4.0829,284.1,92,12,3.06
260,Mansa,IN,2021-06-07 22:35:00,29.9833,75.3833,308.26,26,18,3.06
261,Fairbanks,US,2021-06-07 22:30:05,64.8378,-147.7164,297.93,37,40,0.0
262,Hampton,US,2021-06-07 22:35:01,37.0299,-76.3452,305.18,65,40,4.47
263,Katsuura,JP,2021-06-07 22:35:01,35.1333,140.3,296.59,68,31,1.07
264,Grindavik,IS,2021-06-07 22:35:02,63.8424,-22.4338,281.24,93,90,4.13
265,Minudasht,IR,2021-06-07 22:35:04,37.2289,55.3747,292.92,76,9,1.4
266,Susono,JP,2021-06-07 22:35:04,35.2184,138.8817,297.18,56,2,0.98
267,Kaiyuan,CN,2021-06-07 22:35:05,23.6977,103.3037,292.44,95,100,1.91
268,Tura,IN,2021-06-07 22:35:05,25.5198,90.2201,295.71,98,99,2.47
269,Mormugao,IN,2021-06-07 22:35:06,15.4,73.8,300.91,77,65,4.68
270,Planaltina,BR,2021-06-07 22:35:06,-15.4528,-47.6142,296.31,52,98,1.86
271,Kampong Cham,KH,2021-06-07 22:35:07,11.9934,105.4635,298.25,83,98,2.18
272,Yar-Sale,RU,2021-06-07 22:35:08,66.8333,70.8333,275.59,70,42,3.32
273,Harper,LR,2021-06-07 22:35:08,4.375,-7.7169,299.6,79,99,3.96
274,Rio Grande,BR,2021-06-07 22:35:08,-32.035,-52.0986,289.23,74,19,7.18
275,Portobelo,PA,2021-06-07 22:35:09,9.55,-79.65,300.38,83,100,1.31
276,Linjiang,CN,2021-06-07 22:35:09,41.8069,126.9078,291.31,62,0,0.92
277,Byron Bay,AU,2021-06-07 22:35:10,-28.65,153.6167,290.4,69,59,3.88
278,Duldurga,RU,2021-06-07 22:35:10,50.6761,113.5931,288.64,86,98,0.15
279,Lardos,GR,2021-06-07 22:35:11,36.0942,28.0157,297.05,76,0,4.6
280,Narsaq,GL,2021-06-07 22:35:11,60.9167,-46.05,286.27,52,100,4.45
281,Port Blair,IN,2021-06-07 22:35:11,11.6667,92.75,300.9,77,100,4.89
282,Khargupur,IN,2021-06-07 22:35:12,27.3833,81.9833,304.45,38,1,3.06
283,Mecca,SA,2021-06-07 22:35:12,21.4267,39.8261,305.12,34,11,1.89
284,Santa Helena De Goias,BR,2021-06-07 22:35:13,-17.8136,-50.5969,297.3,41,20,1.0
285,Beloha,MG,2021-06-07 22:35:13,-25.1667,45.05,289.47,72,0,4.22
286,Solana Beach,US,2021-06-07 22:34:56,32.9912,-117.2711,296.51,76,90,1.34
287,Caravelas,BR,2021-06-07 22:35:15,-17.7125,-39.2481,296.28,86,18,2.68
288,Port Antonio,JM,2021-06-07 22:35:16,18.18,-76.4612,302.01,77,23,2.96
289,Arman,RU,2021-06-07 22:32:12,59.7,150.1667,282.87,78,94,2.66
290,Turukhansk,RU,2021-06-07 22:35:17,65.8167,87.9833,274.78,88,81,2.79
291,Labuhan,ID,2021-06-07 22:35:17,-6.8844,112.2051,298.04,85,88,3.05
292,Namibe,AO,2021-06-07 22:35:18,-15.1961,12.1522,294.6,63,91,2.41
293,Weimar,DE,2021-06-07 22:35:18,50.9833,11.3167,289.8,90,20,0.9
294,Christchurch,NZ,2021-06-07 22:31:50,-43.5333,172.6333,284.28,95,75,0.51
